,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,run_num,technique,model_checkpoint,checkpoint,dataset_config,train_size,valid_size,test_size,run_time
0,0.62319415807724,0.7018348623853211,0.7093556891279131,0.7018348623853211,0.6989064547837484,0.2404,1813.633,116.472,10.0,0,orig,prajjwal1/bert-tiny,./pretrained/prajjwal1/bert-tiny-glue_sst2_orig,"['glue', 'sst2']",1000,436,436,77.01345562934875
1,0.5986637473106384,0.694954128440367,0.6974504146972867,0.694954128440367,0.6951451362369416,0.2339,1863.723,119.689,8.4,0,uniform,prajjwal1/bert-tiny,./pretrained/prajjwal1/bert-tiny-glue_sst2_uniform,"['glue', 'sst2']",2000,436,436,92.50233173370361
2,0.5568631887435913,0.7270642201834863,0.7268822273694936,0.7270642201834863,0.7265078601534691,0.2401,1815.913,116.618,6.1,0,fada,prajjwal1/bert-tiny,./pretrained/prajjwal1/bert-tiny-glue_sst2_fada,"['glue', 'sst2']",2000,436,436,67.91246771812439
3,0.3853824734687805,0.8509174311926605,0.8511791688579625,0.8509174311926605,0.8506831672609767,1.5361,283.832,18.228,1.54,0,orig,bert-base-uncased,./pretrained/bert-base-uncased-glue_sst2_orig,"['glue', 'sst2']",1000,436,436,81.02691650390625
4,0.33191514015197754,0.8830275229357798,0.8836851665851629,0.8830275229357798,0.8827890829229155,1.6486,264.468,16.984,1.5,0,uniform,bert-base-uncased,./pretrained/bert-base-uncased-glue_sst2_uniform,"['glue', 'sst2']",2000,436,436,110.75998306274414
5,0.3441601097583771,0.8692660550458715,0.8715099143003611,0.8692660550458715,0.8693589376212937,1.7517,248.896,15.984,1.4,0,fada,bert-base-uncased,./pretrained/bert-base-uncased-glue_sst2_fada,"['glue', 'sst2']",2000,436,436,106.59983491897583
6,0.6188140511512756,0.6857798165137615,0.6862531418365916,0.6857798165137615,0.683729044118276,0.2715,1606.111,103.145,10.0,1,orig,prajjwal1/bert-tiny,./pretrained/prajjwal1/bert-tiny-glue_sst2_orig,"['glue', 'sst2']",1000,436,436,79.68593978881836
7,0.6167654395103455,0.6697247706422018,0.6728254019802288,0.6697247706422018,0.6698637753683624,0.2399,1817.522,116.722,4.9,1,uniform,prajjwal1/bert-tiny,./pretrained/prajjwal1/bert-tiny-glue_sst2_uniform,"['glue', 'sst2']",2000,436,436,55.14719295501709
8,0.5953937768936157,0.6926605504587156,0.6924532746051748,0.6926605504587156,0.6916170415900583,0.2447,1782.029,114.442,4.9,1,fada,prajjwal1/bert-tiny,./pretrained/prajjwal1/bert-tiny-glue_sst2_fada,"['glue', 'sst2']",2000,436,436,55.37019681930542
9,0.3336545526981354,0.8669724770642202,0.8680806536311124,0.8669724770642202,0.867070548961066,1.5951,273.345,17.554,1.15,1,orig,bert-base-uncased,./pretrained/bert-base-uncased-glue_sst2_orig,"['glue', 'sst2']",1000,436,436,62.08619928359985
10,0.3577965497970581,0.8555045871559633,0.8611119990623235,0.8555045871559633,0.8554855841031682,1.6531,263.744,16.938,1.1,1,uniform,bert-base-uncased,./pretrained/bert-base-uncased-glue_sst2_uniform,"['glue', 'sst2']",2000,436,436,81.83751273155212
11,0.29886892437934875,0.8715596330275229,0.8740808887426396,0.8715596330275229,0.871646146704022,1.6782,259.795,16.684,1.4,1,fada,bert-base-uncased,./pretrained/bert-base-uncased-glue_sst2_fada,"['glue', 'sst2']",2000,436,436,108.48932313919067
12,0.682990312576294,0.6032110091743119,0.6035419843682945,0.6032110091743119,0.5955293656980228,0.2611,1670.03,107.25,1.25,2,orig,prajjwal1/bert-tiny,./pretrained/prajjwal1/bert-tiny-glue_sst2_orig,"['glue', 'sst2']",1000,436,436,10.125522136688232
13,0.5811971426010132,0.6903669724770642,0.6908585397432738,0.6903669724770642,0.6905220052207051,0.2566,1699.274,109.128,6.9,2,uniform,prajjwal1/bert-tiny,./pretrained/prajjwal1/bert-tiny-glue_sst2_uniform,"['glue', 'sst2']",2000,436,436,78.9836676120758
14,0.5755364894866943,0.713302752293578,0.7179342250946638,0.713302752293578,0.7132650478237462,0.246,1772.363,113.821,8.0,2,fada,prajjwal1/bert-tiny,./pretrained/prajjwal1/bert-tiny-glue_sst2_fada,"['glue', 'sst2']",2000,436,436,91.2134530544281
15,0.38508257269859314,0.8577981651376146,0.8601420538620893,0.8577981651376146,0.8571331055357923,1.6519,263.932,16.95,1.34,2,orig,bert-base-uncased,./pretrained/bert-base-uncased-glue_sst2_orig,"['glue', 'sst2']",1000,436,436,73.40376138687134
16,0.30447888374328613,0.8715596330275229,0.8718025992715684,0.8715596330275229,0.8713857271401099,1.6886,258.205,16.582,1.2,2,uniform,bert-base-uncased,./pretrained/bert-base-uncased-glue_sst2_uniform,"['glue', 'sst2']",2000,436,436,89.60091876983643
17,0.3034949004650116,0.8830275229357798,0.883629515329246,0.8830275229357798,0.8831008591392427,1.7795,245.013,15.735,1.3,2,fada,bert-base-uncased,./pretrained/bert-base-uncased-glue_sst2_fada,"['glue', 'sst2']",2000,436,436,100.97418236732483
